params,params_per_module,head_series,max_scrape_s,modules_up,memory_bytes,host_avail_gb
200000,2500,200969,0.025525725,80,404447232,109
400000,5000,400969,0.04827263,80,735821824,109
600000,7500,600969,0.085213558,80,1077358592,108
800000,10000,800969,0.137398731,80,1318383616,108
1000000,12500,1000969,0.172783872,80,1661435904,107
1200000,15000,1200969,0.209676083,80,1997045760,107
1400000,17500,1400969,0.267693733,80,2398183424,106
1600000,20000,1600969,0.316225015,80,2691706880,106
1800000,22500,1800969,0.398223737,80,2997932032,105
2000000,25000,2000969,0.494324833,80,3198509056,105
